"locality","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertaintyInMeters","footprintWKT","scientificNameID","scientificName","kingdom","phylum","class","order_","family","genus","scientificNameAuthorship","FID"
"Vanua Levu Outer slope of Cakaunikuita barrier reef 5.5 miles west of the pass, near tip.",-16.185317,179.73695,"WGS84",30,"POINT (179.73695 -16.185317)",381140,"Cheilosporum spectabile","Plantae","Rhodophyta","Florideophyceae","Corallinales","Corallinaceae","Cheilosporum","Harvey ex Grunow, 1874",12
"Vanua Levu Outer slope of Cakaunikuita barrier reef 5.5 miles west of the pass, near tip.",-16.185317,179.73695,"WGS84",30,"POINT (179.73695 -16.185317)",206099,"Ceratodictyon","Plantae","Rhodophyta","Florideophyceae","Rhodymeniales","Lomentariaceae","Ceratodictyon","Zanardini, 1878",13
"Vanua Levu Outer slope of Cakaunikuita barrier reef 5.5 miles west of the pass, near tip.",-16.185317,179.73695,"WGS84",30,"POINT (179.73695 -16.185317)",131761,"Aplysinopsis sp.","Animalia","Porifera","Demospongiae","Dictyoceratida","Thorectidae","Aplysinopsis","Lendenfeld, 1888",14
"Vanua Levu Outer slope of Cakaunikuita barrier reef 5.5 miles west of the pass, near tip.",-16.185317,179.73695,"WGS84",30,"POINT (179.73695 -16.185317)",131745,"Dysidea sp.","Animalia","Porifera","Demospongiae","Dictyoceratida","Dysideidae","Dysidea","Johnston, 1842",15
"Vanua Levu Outer slope of Cakaunikuita barrier reef 5.5 miles west of the pass, near tip.",-16.185317,179.73695,"WGS84",30,"POINT (179.73695 -16.185317)",165705,"Stylissa carteri","Animalia","Porifera","Demospongiae","Halichondrida","Dictyonellidae","Stylissa","(Dendy, 1889)",16
"Vanua Levu Outer slope of Cakaunikuita barrier reef 5.5 miles west of the pass, near tip.",-16.185317,179.73695,"WGS84",30,"POINT (179.73695 -16.185317)",194570,"Xestospongia pacifica","Animalia","Porifera","Demospongiae","Haplosclerida","Petrosiidae","Xestospongia","Kelly-Borges & Bergquist, 1988",17
"Vanua Levu Outer slope of Cakaunikuita barrier reef 5.5 miles west of the pass, near tip.",-16.185317,179.73695,"WGS84",30,"POINT (179.73695 -16.185317)",371241,"Halymenia porphyraeformis","Plantae","Rhodophyta","Florideophyceae","Halymeniales","Halymeniaceae","Halymenia","Parkinson, 1980",18
"Vanua Levu Outer slope of Cakaunikuita barrier reef 5.5 miles west of the pass, near tip.",-16.185317,179.73695,"WGS84",30,"POINT (179.73695 -16.185317)",166770,"Niphates sp.","Animalia","Porifera","Demospongiae","Haplosclerida","Niphatidae","Niphates","Duchassaing & Michelotti, 1864",19
"Vanua Levu Outer slope of Cakaunikuita barrier reef 5.5 miles west of the pass, near tip.",-16.185317,179.73695,"WGS84",30,"POINT (179.73695 -16.185317)",131762,"Cacospongia sp.","Animalia","Porifera","Demospongiae","Dictyoceratida","Thorectidae","Cacospongia","Schmidt, 1862",20
"Vanua Levu Outer slope of Cakaunikuita barrier reef 5.5 miles west of the pass, near tip.",-16.185317,179.73695,"WGS84",30,"POINT (179.73695 -16.185317)",214434,"Corynocystis prostrata","Plantae","Rhodophyta","Florideophyceae","Gigartinales","Corynocystaceae","Corynocystis","Kraft, 1999",21
"Vanua Levu Outer slope of Cakaunikuita barrier reef 5.5 miles west of the pass, near tip.",-16.185317,179.73695,"WGS84",30,"POINT (179.73695 -16.185317)",214395,"Dictyosphaeria cavernosa","Plantae","Chlorophyta","Ulvophyceae","Siphonocladales","Siphonocladaceae","Dictyosphaeria","(Forsskål) Børgesen, 1932",22
"Vanua Levu Outer slope of Cakaunikuita barrier reef 5.5 miles west of the pass, near tip.",-16.185317,179.73695,"WGS84",30,"POINT (179.73695 -16.185317)",372323,"Phacelocarpus neurymenioides","Plantae","Rhodophyta","Florideophyceae","Gigartinales","Phacelocarpaceae","Phacelocarpus","A.D.R.N'Yeurt, D.W.Keats & R.E.Norris, 1995",23
"Vanua Levu Outer slope of Cakaunikuita barrier reef 5.5 miles west of the pass, near tip.",-16.185317,179.73695,"WGS84",30,"POINT (179.73695 -16.185317)",144045,"Halymenia sp.","Plantae","Rhodophyta","Florideophyceae","Halymeniales","Halymeniaceae","Halymenia","C.Agardh, 1817",24
"Vanua Levu Outer slope of Cakaunikuita barrier reef 5.5 miles west of the pass, near tip.",-16.185317,179.73695,"WGS84",30,"POINT (179.73695 -16.185317)",145745,"Tricleocarpa fragilis","Plantae","Rhodophyta","Florideophyceae","Nemaliales","Galaxauraceae","Tricleocarpa","(Linnaeus) Huisman & R.A.Townsend, 1993",25
